"","Ticker.symbol","Security","SEC.filings","GICS.Sector","GICS.Sub.Industry","Address.of.Headquarters","Date.first.added","CIK"
"1","MMM","3M Company","reports","Industrials","Industrial Conglomerates","St. Paul, Minnesota","",66740
"2","ABT","Abbott Laboratories","reports","Health Care","Health Care Equipment & Services","North Chicago, Illinois","",1800
"3","ABBV","AbbVie","reports","Health Care","Pharmaceuticals","North Chicago, Illinois","2012-12-31",1551152
"4","ACN","Accenture plc","reports","Information Technology","IT Consulting & Other Services","Dublin, Ireland","2011-07-06",1467373
"5","ACE","ACE Limited","reports","Financials","Property & Casualty Insurance","Zurich, Switzerland","2010-07-15",896159
"6","ATVI","Activision Blizzard","reports","Information Technology","Home Entertainment Software","Santa Monica, California","2015-08-31",718877
"7","ADBE","Adobe Systems Inc","reports","Information Technology","Application Software","San Jose, California","",796343
"8","ADT","ADT Corp","reports","Industrials","Diversified Commercial Services","Boca Raton, Florida","2012-10-01",1546640
"9","AAP","Advance Auto Parts","reports","Consumer Discretionary","Automotive Retail","Roanoke, Virginia","2015-07-09",1158449
"10","AES","AES Corp","reports","Utilities","Independent Power Producers & Energy Traders","Arlington, Virginia","",874761
"11","AET","Aetna Inc","reports","Health Care","Managed Health Care","Hartford, Connecticut","1976-06-30",1122304
"12","AFL","AFLAC Inc","reports","Financials","Life & Health Insurance","Columbus, Georgia","",4977
"13","AMG","Affiliated Managers Group Inc","reports","Financials","Asset Management & Custody Banks","Beverly, Massachusetts","2014-07-01",1004434
"14","A","Agilent Technologies Inc","reports","Health Care","Health Care Equipment & Services","Santa Clara, California","",1090872
"15","GAS","AGL Resources Inc.","reports","Utilities","Gas Utilities","Atlanta, Georgia","2011-12-13",1004155
"16","APD","Air Products & Chemicals Inc","reports","Materials","Industrial Gases","Allentown, Pennsylvania","1985-04-30",2969
"17","ARG","Airgas Inc","reports","Materials","Industrial Gases","Radnor, Pennsylvania","2009-09-09",804212
"18","AKAM","Akamai Technologies Inc","reports","Information Technology","Internet Software & Services","Cambridge, Massachusetts","2007-07-12",1086222
"19","AA","Alcoa Inc","reports","Materials","Aluminum","New York, New York","",4281
"20","AGN","Allergan plc","reports","Health Care","Pharmaceuticals","Dublin, Ireland","",884629
"21","ALXN","Alexion Pharmaceuticals","reports","Health Care","Biotechnology","Cheshire, Connecticut","2012-05-25",899866
"22","ALLE","Allegion","reports","Industrials","Building Products","Dublin, Ireland","2013-12-02",1579241
"23","ADS","Alliance Data Systems","reports","Information Technology","Data Processing & Outsourced Services","Plano, Texas","2013-12-23",1101215
"24","ALL","Allstate Corp","reports","Financials","Property & Casualty Insurance","Northfield Township, Illinois","",899051
"25","GOOGL","Alphabet Inc Class A","reports","Information Technology","Internet Software & Services","Mountain View, California","2014-04-03",1288776
"26","GOOG","Alphabet Inc Class C","reports","Information Technology","Internet Software & Services","Mountain View, California","",1288776
"27","ALTR","Altera Corp","reports","Information Technology","Semiconductors","San Jose, California","",768251
"28","MO","Altria Group Inc","reports","Consumer Staples","Tobacco","Richmond, Virginia","",764180
