"","Ticker","Security","Return","Volatility"
"415","SWN","Southwestern Energy",0.0120273040953924,0.0731714160210788
"100","CHK","Chesapeake Energy",0.0103590711994072,0.099127298807649
"124","CNX","CONSOL Energy Inc.",0.00993283957052279,0.0640142335352329
"200","FCX","Freeport-McMoran Cp & Gld",0.00911463904731762,0.0705128616001404
"256","GMCR","Keurig Green Mountain",0.00824247537564277,0.0824322415072444
"383","RRC","Range Resources Corp.",0.00798099278567377,0.0502941082034603
"341","OKE","ONEOK",0.00756556235553346,0.0459463115702672
"323","NEM","Newmont Mining Corp. (Hldg. Co.)",0.00652464800157325,0.0324765405364378
"314","MUR","Murphy Oil",0.00612994758730602,0.0500459882986849
"335","NRG","NRG Energy",0.00585615966760232,0.0400774830172685
"494","WYNN","Wynn Resorts Ltd",0.00560774511992968,0.0394638348221831
"83","COG","Cabot Oil & Gas",0.0050921284812184,0.0352745138797535
"171","EQT","EQT Corporation",0.00445203239762247,0.0307013389331882
"119","CPGX","Columbia Pipeline Group Inc",0.00402145381237843,0.0266949337902055
"465","URBN","Urban Outfitters",0.00402035196059631,0.0264734474023832
"8","ADT","ADT Corp",0.00392549453514931,0.0556366743165201
"416","SE","Spectra Energy Corp.",0.00387568575705196,0.0237822799773812
"246","IRM","Iron Mountain Incorporated",0.00380131775130082,0.0172543459170814
"44","APA","Apache Corporation",0.00378152110246106,0.039288445982818
"163","EW","Edwards Lifesciences",0.00367857674081326,0.0268782282918962
"132","CMI","Cummins Inc.",0.00353229633327942,0.0175600041368537
"178","EXC","Exelon Corp.",0.00350059631162437,0.0146291023664056
"225","HES","Hess Corporation",0.00349510475223453,0.0385812908397554
"253","KSU","Kansas City Southern",0.00348688151070483,0.020983616223305
"96","CTL","CenturyLink Inc",0.00328294469088481,0.0223350619539251
"301","KORS","Michael Kors Holdings",0.00326436469245892,0.031243172341694
"114","COH","Coach Inc.",0.00322916649941071,0.0211124300181563
"201","FTR","Frontier Communications",0.00320345936535062,0.0310886271818115
"489","WHR","Whirlpool Corp.",0.00318717775225775,0.0181699848897039
"224","HP","Helmerich & Payne",0.00305276782479995,0.0328734897715775
"10","AES","AES Corp",0.00303843268368082,0.0224085455599008
"95","CNP","CenterPoint Energy",0.00287533649897146,0.0164469728925948
"221","HAS","Hasbro Inc.",0.00284523033414597,0.0168919151340083
"378","PVH","PVH Corp.",0.00281623193317804,0.02045395889835
"159","ETN","Eaton Corporation",0.00276845022950938,0.0171451627013849
"336","NUE","Nucor Corp.",0.00275099659855065,0.0195166592977508
"13","AMG","Affiliated Managers Group Inc",0.00273156530523992,0.0271341567859237
"434","THC","Tenet Healthcare Corp.",0.00270263146698001,0.0376097774228608
"204","GRMN","Garmin Ltd.",0.00270098666520704,0.0232090908928484
"397","R","Ryder System",0.00267728800323665,0.0275192559287859
"454","TYC","Tyco International",0.00267130650118579,0.0189114683705323
"142","DVN","Devon Energy Corp.",0.0026654451968981,0.0516535845948054
"226","HPE","Hewlett Packard Enterprise",0.00260805359169932,0.0291610747017545
"404","SEE","Sealed Air Corp.(New)",0.00258289975391268,0.0201275746216565
"166","EMR","Emerson Electric Company",0.00258194332278912,0.0150934380757738
"222","HCA","HCA Holdings",0.00253111648409662,0.0173249320735297
"344","PCAR","PACCAR Inc.",0.00246466982341713,0.0162312248588901
"402","SNI","Scripps Networks Interactive Inc.",0.00245684233838933,0.0186694606117405
"93","CBS","CBS Corp.",0.00244390393421356,0.0192450968525544
"259","KMI","Kinder Morgan",0.00236980604017914,0.0424648312349295
"194","FLR","Fluor Corp.",0.00236930744940208,0.0200473858476079
"91","CAT","Caterpillar Inc.",0.00235777688306713,0.0203343207624881
"19","AA","Alcoa Inc",0.00233849464946049,0.0369109635072271
"385","O","Realty Income Corporation",0.00232032927074392,0.0130525151132845
"291","MAT","Mattel Inc.",0.00229616106155565,0.0234627733856871
"198","FOSL","Fossil, Inc.",0.00229096498425308,0.0394580062431352
"375","PEG","Public Serv. Enterprise Inc.",0.00228881993839342,0.0118799055354202
"288","MLM","Martin Marietta Materials",0.00228840740493195,0.0222636321645353
"80","CHRW","C. H. Robinson Worldwide",0.00227510551844816,0.0121972141169876
"244","ISRG","Intuitive Surgical Inc.",0.00222697655542297,0.0149964323285962
"443","TWX","Time Warner Inc.",0.00220378844725349,0.0175613584224439
"143","DO","Diamond Offshore Drilling",0.00220337809723459,0.0369900780831941
"453","TSN","Tyson Foods",0.0021941462246653,0.0176357749031707
"345","PH","Parker-Hannifin",0.00218481033564297,0.0156733554220567
"424","SYK","Stryker Corp.",0.00217216091067761,0.0114615348943205
"236","IR","Ingersoll-Rand PLC",0.0021679675284233,0.0174533480051581
"330","NBL","Noble Energy Inc",0.00207388025391153,0.0352455280746837
"329","NI","NiSource Inc.",0.00204754329287241,0.0138539747470536
"64","BAX","Baxter International Inc.",0.00204355739309808,0.0137577364388694
"195","FMC","FMC Corporation",0.00203835276881091,0.0241387155496573
"214","GWW","Grainger (W.W.) Inc.",0.00203432617591337,0.0145255257157383
"380","PWR","Quanta Services Inc.",0.00203085885734851,0.0185533924570229
"421","HOT","Starwood Hotels & Resorts",0.00202569106009221,0.0209564210531085
"47","AMAT","Applied Materials Inc",0.00202493250308025,0.020572981538433
"41","APC","Anadarko Petroleum Corp",0.00202430317885611,0.0424577057104686
"48","ADM","Archer-Daniels-Midland Co",0.00200330382962979,0.0219033946706092
"457","UNP","Union Pacific",0.00196966871909019,0.0183517912470203
"318","NAVI","Navient",0.00196793829391514,0.0310191273410075
"199","BEN","Franklin Resources",0.0019603803655392,0.0202832451426616
"240","IP","International Paper",0.00195693707957754,0.0199791713786472
"57","AVY","Avery Dennison Corp",0.00194639093686834,0.0152752867174414
"192","FLIR","FLIR Systems",0.00191716729053646,0.0162913169864755
"284","MRO","Marathon Oil Corp.",0.00190722656297649,0.0556476098072089
"248","JBHT","J. B. Hunt Transport Services",0.00190717428985587,0.0153034097162539
"326","NEE","NextEra Energy",0.00189592223760427,0.0114972132950729
"127","GLW","Corning Inc.",0.00189411687119037,0.0161437281760823
"456","UA","Under Armour",0.00188471365132668,0.0331884667748861
"162","EIX","Edison Int'l",0.00187912771885596,0.0118114589645901
"186","FDX","FedEx Corporation",0.00187358160182384,0.0208210910506357
"359","PNW","Pinnacle West Capital",0.00186842395502221,0.011082021541928
"101","CVX","Chevron Corp.",0.00186341956212135,0.0215565457069092
"185","FAST","Fastenal Co",0.00184349076002556,0.0187683802381892
"500","YHOO","Yahoo Inc.",0.0018424449253794,0.023398111672501
"327","NLSN","Nielsen Holdings",0.00181998284285429,0.0137809941864867
"348","PYPL","PayPal",0.0018184786125926,0.0218105937280104
"365","PPG","PPG Industries",0.00181389844280468,0.0154849965282827
"182","XOM","Exxon Mobil Corp.",0.00181287596368375,0.016105486849656
"16","APD","Air Products & Chemicals Inc",0.00180770514169513,0.0152691422057631
"339","OXY","Occidental Petroleum",0.00180087321221633,0.0214321290213428
"459","UNH","United Health Group Inc.",0.00178831216617583,0.01383696560208
"499","XYL","Xylem Inc.",0.00178334254691935,0.0126051986474794
"158","EMN","Eastman Chemical",0.00177955811855886,0.0178755061379817
"71","BLK","BlackRock",0.00177743808162934,0.019622790272427
"125","ED","Consolidated Edison",0.00176943035976146,0.0106156677985679
"401","SLB","Schlumberger Ltd.",0.0017668895322638,0.0199891651293599
"228","HON","Honeywell Int'l Inc.",0.00176355181389577,0.0138996764990406
"147","DG","Dollar General",0.00175523800438526,0.0174310897584152
"477","VMC","Vulcan Materials",0.00175193786899737,0.0178771526607549
"32","AEP","American Electric Power",0.00175013455773715,0.0122410620656598
"419","SPLS","Staples Inc.",0.0017401523682848,0.0208345941232757
"193","FLS","Flowserve Corporation",0.00173900150583489,0.0209879475879157
"50","T","AT&T Inc",0.00173804914873153,0.00873948130563074
"426","SYMC","Symantec Corp.",0.00173654336334891,0.016264940731061
"496","XRX","Xerox Corp.",0.00173612144739205,0.0189078691720763
"69","BBY","Best Buy Co. Inc.",0.00167998772045053,0.0222416529516331
"367","PX","Praxair Inc.",0.00167632165207761,0.014198286652769
"474","VIAB","Viacom Inc.",0.00167397158251854,0.0379597591842717
"492","WEC","Wisconsin Energy Corporation",0.00166541273164493,0.0109993390407335
"85","CPB","Campbell Soup",0.00165083038528171,0.0116763626826294
"169","ETR","Entergy Corp.",0.00164720897023615,0.0124985534128334
"316","NDAQ","NASDAQ OMX Group",0.00164262393410563,0.015348817928945
"381","QCOM","QUALCOMM Inc.",0.00163965637030754,0.0209476437489465
"12","AFL","AFLAC Inc",0.00163953907831847,0.0125926272600343
"469","VTR","Ventas Inc",0.00163831490305787,0.017968107131312
"451","FOXA","Twenty-First Century Fox Class A",0.00161276963579339,0.0160888682045108
"215","HAL","Halliburton Co.",0.00161030891475861,0.0247136821232534
"340","OMC","Omnicom Group",0.0016102684510206,0.0128586757218436
"406","SHW","Sherwin-Williams",0.00160857587513024,0.0168301833387509
"478","WMT","Wal-Mart Stores",0.00160827081136414,0.0120899094651079
"282","M","Macy's Inc.",0.00160556399423738,0.0190086496551846
